iter	Passed	Remaining
0	13	13734
1	19	9771
2	24	8296
3	31	7854
4	38	7601
5	44	7313
6	50	7099
7	56	7010
8	62	6932
9	70	6957
10	77	6928
11	85	7009
12	91	6951
13	97	6843
14	103	6778
15	110	6780
16	116	6712
17	121	6639
18	128	6618
19	134	6607
20	141	6617
21	148	6612
22	154	6581
23	160	6533
24	166	6508
25	173	6507
26	180	6502
27	187	6500
28	194	6513
29	200	6494
30	207	6494
31	213	6471
32	220	6474
33	227	6469
34	234	6462
35	241	6465
36	248	6457
37	254	6437
38	260	6413
39	266	6393
40	272	6372
41	279	6374
42	287	6388
43	292	6362
44	298	6345
45	305	6340
46	311	6323
47	318	6308
48	325	6313
49	332	6323
50	339	6310
51	346	6315
52	352	6296
53	357	6268
54	364	6259
55	370	6251
56	378	6254
57	385	6259
58	393	6282
59	402	6299
60	408	6280
61	413	6262
62	421	6262
63	429	6275
64	435	6267
65	442	6257
66	448	6242
67	454	6226
68	461	6223
69	469	6236
70	477	6251
71	485	6253
72	492	6250
73	500	6257
74	506	6245
75	512	6233
76	518	6220
77	525	6213
78	532	6203
79	538	6190
80	544	6178
81	550	6166
82	557	6162
83	564	6153
84	571	6154
85	580	6168
86	587	6169
87	596	6179
88	603	6175
89	609	6161
90	615	6151
91	622	6142
92	629	6136
93	635	6127
94	642	6119
95	647	6099
96	654	6089
97	660	6080
98	667	6074
99	674	6072
100	681	6069
101	688	6064
102	695	6060
103	702	6056
104	710	6055
105	718	6061
106	725	6058
107	733	6056
108	739	6048
109	746	6037
110	752	6029
111	759	6020
112	766	6016
113	773	6014
114	780	6003
115	786	5990
116	792	5982
117	800	5981
118	806	5973
119	814	5970
120	820	5959
121	826	5946
122	834	5948
123	840	5935
124	845	5921
125	852	5916
126	860	5913
127	868	5913
128	874	5902
129	880	5890
130	886	5882
131	894	5883
132	902	5881
133	909	5880
134	916	5875
135	923	5865
136	930	5861
137	936	5852
138	943	5844
139	951	5842
140	958	5841
141	967	5847
142	974	5838
143	980	5827
144	986	5816
145	994	5815
146	1001	5810
147	1009	5811
148	1018	5814
149	1025	5812
150	1032	5807
151	1041	5811
152	1049	5809
153	1056	5803
154	1063	5796
155	1069	5785
156	1075	5777
157	1082	5768
158	1089	5760
159	1094	5747
160	1101	5740
161	1108	5733
162	1115	5729
163	1123	5727
164	1131	5725
165	1138	5717
166	1145	5713
167	1153	5710
168	1161	5710
169	1167	5702
170	1174	5692
171	1180	5680
172	1186	5673
173	1193	5664
174	1200	5660
175	1208	5657
176	1214	5648
177	1222	5646
178	1228	5636
179	1235	5627
180	1241	5619
181	1248	5609
182	1255	5605
183	1262	5600
184	1268	5588
185	1274	5578
186	1281	5571
187	1287	5561
188	1293	5549
189	1299	5539
190	1320	5592
191	1327	5588
192	1335	5584
193	1344	5586
194	1354	5590
195	1365	5600
196	1373	5597
197	1380	5590
198	1387	5583
199	1394	5577
200	1402	5575
201	1409	5569
202	1417	5566
203	1426	5566
204	1434	5563
205	1443	5563
206	1452	5564
207	1459	5557
208	1465	5544
209	1470	5533
210	1477	5523
211	1483	5512
212	1489	5503
213	1496	5497
214	1503	5488
215	1508	5475
216	1515	5468
217	1523	5466
218	1531	5463
219	1539	5459
220	1549	5460
221	1557	5457
222	1563	5447
223	1570	5440
224	1576	5429
225	1582	5419
226	1589	5411
227	1595	5402
228	1602	5395
229	1609	5387
230	1616	5380
231	1623	5375
232	1630	5366
233	1637	5359
234	1644	5352
235	1651	5346
236	1657	5336
237	1663	5324
238	1669	5315
239	1675	5306
240	1682	5297
241	1689	5292
242	1695	5282
243	1702	5276
244	1710	5270
245	1716	5261
246	1723	5254
247	1730	5246
248	1736	5237
249	1743	5231
250	1750	5224
251	1756	5213
252	1762	5203
253	1768	5195
254	1774	5185
255	1780	5174
256	1786	5166
257	1793	5156
258	1798	5146
259	1805	5137
260	1811	5128
261	1817	5119
262	1823	5109
263	1831	5105
264	1838	5098
265	1846	5094
266	1853	5087
267	1859	5078
268	1866	5070
269	1871	5061
270	1878	5052
271	1885	5045
272	1892	5038
273	1898	5029
274	1904	5020
275	1910	5012
276	1916	5001
277	1922	4993
278	1929	4985
279	1936	4979
280	1945	4977
281	1952	4971
282	1958	4962
283	1965	4954
284	1971	4945
285	1977	4936
286	1983	4927
287	1990	4919
288	1995	4910
289	2001	4901
290	2008	4892
291	2014	4883
292	2021	4877
293	2027	4869
294	2035	4864
295	2042	4858
296	2049	4851
297	2056	4844
298	2063	4838
299	2070	4830
300	2076	4821
301	2082	4814
302	2089	4807
303	2096	4799
304	2103	4792
305	2108	4783
306	2115	4774
307	2121	4766
308	2129	4761
309	2135	4754
310	2142	4747
311	2148	4738
312	2154	4729
313	2160	4720
314	2166	4712
315	2173	4704
316	2180	4697
317	2185	4687
318	2192	4680
319	2198	4672
320	2204	4663
321	2211	4656
322	2218	4649
323	2224	4642
324	2231	4634
325	2238	4628
326	2245	4621
327	2251	4613
328	2258	4605
329	2263	4596
330	2270	4588
331	2276	4580
332	2282	4571
333	2288	4563
334	2294	4554
335	2300	4546
336	2306	4537
337	2312	4528
338	2319	4522
339	2326	4515
340	2333	4509
341	2339	4501
342	2348	4498
343	2355	4492
344	2362	4484
345	2368	4476
346	2376	4472
347	2382	4464
348	2388	4456
349	2394	4447
350	2400	4439
351	2406	4430
352	2413	4424
353	2421	4418
354	2428	4411
355	2436	4407
356	2442	4399
357	2449	4393
358	2456	4385
359	2462	4377
360	2468	4369
361	2473	4360
362	2480	4353
363	2487	4345
364	2493	4338
365	2500	4331
366	2506	4324
367	2513	4316
368	2520	4309
369	2527	4303
370	2534	4296
371	2541	4290
372	2548	4283
373	2555	4276
374	2561	4269
375	2569	4263
376	2575	4256
377	2581	4248
378	2588	4241
379	2594	4233
380	2601	4225
381	2607	4218
382	2615	4212
383	2622	4207
